date,startup,vertical,city,investors,round,amount,year,month
2020-01-09,BYJU’S,Technology,Bangalore,Tiger Global Management,Private Equity Round,200000000.0,2020,1
2020-01-13,Shuttl,Logistics,Gurgaon,Susquehanna Growth Equity,Series C,8048394.0,2020,1
2020-01-09,Mamaearth,E-Commerce,Bangalore,Sequoia Capital India,Series B,18358860.0,2020,1
2020-01-02,https://www.wealthbucket.in/,FinTech,Delhi,Vinod Khatumal,Pre-series A,3000000.0,2020,1
2020-01-02,Fashor,Fashion and apparel,Mumbai,Sprout Venture Partners,Seed Round,1800000.0,2020,1
2020-01-13,Pando,Logistics,Chennai,Chiratae Ventures,Series A,9000000.0,2020,1
2020-01-10,Zomato,Hospitality,Gurgaon,Ant Financial,Private Equity Round,150000000.0,2020,1
2019-12-12,Ecozen,Technology,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,2019,12
2019-12-06,CarDekho,E-Commerce,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0,2019,12
2019-12-03,Dhruva Space,Aerospace,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,2019,12
2019-12-13,Rivigo,Technology,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000.0,2019,12
2019-12-17,Healthians,Food & Beverage,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000.0,2019,12
2019-12-16,Licious,E-Commerce,Bangalore,Vertex Growth Fund,Series E,30000000.0,2019,12
2019-12-16,InCred,FinTech,Mumbai,,Debt Funding,5900000.0,2019,12
2019-12-14,Trell,Video,Bangalore,Ruizheng Investment,Seed Round,2000000.0,2019,12
2019-12-11,Rein Games,Gaming,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.0,2019,12
2019-12-20,Lenskart.com,E-Commerce,Faridabad,SoftBank Vision Fund,Series G,231000000.0,2019,12
2019-11-13,Freshworks,Software,International,"Sequoia, CapitalG, Accel",Series H,150000000.0,2019,11
2019-11-14,Misters,Healthcare,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000.0,2019,11
2019-11-13,Sunstone Eduversity Pvt. Ltd,EdTech,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000.0,2019,11
2019-11-17,Burger Singh,Food & Beverage,Gurgaon,RB Investments,Venture,,2019,11
2019-11-18,Healthians,Healthcare,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000.0,2019,11
2019-11-15,Ninjacart,B2b marketing,Bangalore,Trifecta Capital Advisors,Debt Funding,26000000.0,2019,11
2019-11-20,Aye Finance,FinTech,Gurgaon,FinTech,Debt Funding,17411265.0,2019,11
2019-11-12,SuperGaming,Video games,Pune,Dream Incubator,Seed Funding,1300000.0,2019,11
2019-11-20,Clumio,Saas,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0,2019,11
2019-11-11,eBikeGo,Logistics,Amritsar,Startup Buddy,Seed,300000.0,2019,11
2019-11-19,Digital Mall Asia,E-Commerce,Delhi,Amour Infrastructure,Seed Funding,220000000.0,2019,11
2019-11-18,Medikabazaar,Healthcare,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000.0,2019,11
2019-11-15,Vogo Automotive,Logistics,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0,2019,11
2019-11-19,Furtados School of Music,EdTech,Tulangan,IAN Fund and DSG Consumer Partners,,200000000.0,2019,11
2019-11-25,Paytm,FinTech,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.0,2019,11
2019-10-04,Dunzo,Customer service,Bangalore,Lightbox,Series D,45000000.0,2019,10
2019-10-02,Udaan,B2b,Bangalore,"Altimeter Capital, DST Global",Series D,585000000.0,2019,10
2019-10-21,The Man Company,Consumer goods,Gurgaon,Ayushmann Khurana,Corporate Round,,2019,10
2019-09-05,FPL Technologies,FinTech,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0,2019,9
2019-09-04,Cashflo,FinTech,Mumbai,SAIF Partners,Series A,3300000.0,2019,9
2019-09-04,Digital F5,"Advertising, marketing",Mumbai,TIW Private Equity,Private Equity Round,6000000.0,2019,9
2019-09-04,3rdFlix,Saas,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0,2019,9
2019-09-04,75F,Iot,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0,2019,9
2019-09-04,Myelin Foundry,Technology,Bangalore,Endiya Partners,Seed,1000000.0,2019,9
2019-09-04,Atomberg Technology,Technology,Mumbai,A91 Partners,Series A,10000000.0,2019,9
2019-09-04,GOQii,Healthcare,International,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0,2019,9
2019-09-03,Vyapar App,Accounting,Bangalore,"India Quotient, Axilor Ventures",Series A,5000000.0,2019,9
2019-08-01,CarDekho,E-Commerce,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.0,2019,8
2019-08-01,Progcap,FinTech,Delhi,Sequoia India,Series A,5000000.0,2019,8
2019-08-01,MyPetrolPump,Retail,Bangalore,,Seed Funding Round,1600000.0,2019,8
2019-08-01,Alteria Capital,FinTech,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.0,2019,8
2019-08-01,Pine Labs,Technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0,2019,8
2019-08-12,Meesho,E-Commerce,Bangalore,Naspers,Series D,125000000.0,2019,8
